FMQ,PT,FMQ_PT,FMQCAT,,,
Acute Coronary Syndrome,Angina unstable,Acute Coronary Syndrome-Angina unstable,Narrow,,,
Acute Coronary Syndrome,Myocardial infarction,Acute Coronary Syndrome-Myocardial infarction,Narrow,,,
Acute Coronary Syndrome,Myocardial infarction old,Acute Coronary Syndrome-Myocardial infarction old,Narrow,,,
Acute Coronary Syndrome,Myocardial necrosis,Acute Coronary Syndrome-Myocardial necrosis,Narrow,,,
Acute Coronary Syndrome,Myocardial reinfarction,Acute Coronary Syndrome-Myocardial reinfarction,Narrow,,,
Acute Coronary Syndrome,Papillary muscle infarction,Acute Coronary Syndrome-Papillary muscle infarction,Narrow,,,
Acute Coronary Syndrome,Periprocedural myocardial infarction,Acute Coronary Syndrome-Periprocedural myocardial infarction,Narrow,,,
Acute Coronary Syndrome,Post procedural myocardial infarction,Acute Coronary Syndrome-Post procedural myocardial infarction,Narrow,,,
Acute Coronary Syndrome,Silent myocardial infarction,Acute Coronary Syndrome-Silent myocardial infarction,Narrow,,,
Acute Coronary Syndrome,Wellens' syndrome,Acute Coronary Syndrome-Wellens' syndrome,Narrow,,,
Acute Coronary Syndrome,Acute cardiac event,Acute Coronary Syndrome-Acute cardiac event,Broad,,,
Acute Coronary Syndrome,Angina pectoris,Acute Coronary Syndrome-Angina pectoris,Broad,,,
Acute Coronary Syndrome,Aortic annulus rupture,Acute Coronary Syndrome-Aortic annulus rupture,Broad,,,
Acute Coronary Syndrome,Aortic root compression,Acute Coronary Syndrome-Aortic root compression,Broad,,,
Acute Coronary Syndrome,Arteriosclerosis coronary artery,Acute Coronary Syndrome-Arteriosclerosis coronary artery,Broad,,,
Acute Coronary Syndrome,Arteriospasm coronary,Acute Coronary Syndrome-Arteriospasm coronary,Broad,,,
Acute Coronary Syndrome,Blood creatine phosphokinase increased,Acute Coronary Syndrome-Blood creatine phosphokinase increased,Broad,,,
Acute Coronary Syndrome,Blood creatine phosphokinase MB abnormal,Acute Coronary Syndrome-Blood creatine phosphokinase MB abnormal,Broad,,,
Acute Coronary Syndrome,Blood creatine phosphokinase MB increased,Acute Coronary Syndrome-Blood creatine phosphokinase MB increased,Broad,,,
Acute Coronary Syndrome,Cardiac arrest,Acute Coronary Syndrome-Cardiac arrest,Broad,,,
Acute Coronary Syndrome,Cardiac enzymes increased,Acute Coronary Syndrome-Cardiac enzymes increased,Broad,,,
Acute Coronary Syndrome,Cardiac troponin I increased,Acute Coronary Syndrome-Cardiac troponin I increased,Broad,,,
Acute Coronary Syndrome,Cardiac troponin T increased,Acute Coronary Syndrome-Cardiac troponin T increased,Broad,,,
Acute Coronary Syndrome,Coronary arterial stent insertion,Acute Coronary Syndrome-Coronary arterial stent insertion,Broad,,,
Acute Coronary Syndrome,Coronary artery bypass,Acute Coronary Syndrome-Coronary artery bypass,Broad,,,
Acute Coronary Syndrome,Coronary artery compression,Acute Coronary Syndrome-Coronary artery compression,Broad,,,
Acute Coronary Syndrome,Coronary artery disease,Acute Coronary Syndrome-Coronary artery disease,Broad,,,
Acute Coronary Syndrome,Coronary artery occlusion,Acute Coronary Syndrome-Coronary artery occlusion,Broad,,,
Acute Coronary Syndrome,Coronary artery stenosis,Acute Coronary Syndrome-Coronary artery stenosis,Broad,,,
Acute Coronary Syndrome,Coronary artery thrombosis,Acute Coronary Syndrome-Coronary artery thrombosis,Broad,,,
Acute Coronary Syndrome,ECG signs of myocardial infarction,Acute Coronary Syndrome-ECG signs of myocardial infarction,Broad,,,
Acute Coronary Syndrome,ECG signs of myocardial ischaemia,Acute Coronary Syndrome-ECG signs of myocardial ischaemia,Broad,,,
Acute Coronary Syndrome,Elastic vessel recoil complication,Acute Coronary Syndrome-Elastic vessel recoil complication,Broad,,,
Acute Coronary Syndrome,Electrocardiogram ST segment abnormal,Acute Coronary Syndrome-Electrocardiogram ST segment abnormal,Broad,,,
Acute Coronary Syndrome,Electrocardiogram ST segment depression,Acute Coronary Syndrome-Electrocardiogram ST segment depression,Broad,,,
Acute Coronary Syndrome,Electrocardiogram ST segment elevation,Acute Coronary Syndrome-Electrocardiogram ST segment elevation,Broad,,,
Acute Coronary Syndrome,Electrocardiogram ST-T change,Acute Coronary Syndrome-Electrocardiogram ST-T change,Broad,,,
Acute Coronary Syndrome,Electrocardiogram ST-T segment elevation,Acute Coronary Syndrome-Electrocardiogram ST-T segment elevation,Broad,,,
Acute Coronary Syndrome,Myocardial hypoxia,Acute Coronary Syndrome-Myocardial hypoxia,Broad,,,
Acute Coronary Syndrome,Myocardial ischaemia,Acute Coronary Syndrome-Myocardial ischaemia,Broad,,,
Acute Coronary Syndrome,Myocardial necrosis marker increased,Acute Coronary Syndrome-Myocardial necrosis marker increased,Broad,,,
Acute Coronary Syndrome,Myocardial reperfusion injury,Acute Coronary Syndrome-Myocardial reperfusion injury,Broad,,,
Acute Coronary Syndrome,Myocardial stunning,Acute Coronary Syndrome-Myocardial stunning,Broad,,,
Acute Coronary Syndrome,Troponin I increased,Acute Coronary Syndrome-Troponin I increased,Broad,,,
Acute Coronary Syndrome,Troponin increased,Acute Coronary Syndrome-Troponin increased,Broad,,,
Acute Coronary Syndrome,Troponin T increased,Acute Coronary Syndrome-Troponin T increased,Broad,,,
Acute Kidney Injury,Acute kidney injury,Acute Kidney Injury-Acute kidney injury,Narrow,,,
Acute Kidney Injury,Acute phosphate nephropathy,Acute Kidney Injury-Acute phosphate nephropathy,Narrow,,,
Acute Kidney Injury,Acute prerenal failure,Acute Kidney Injury-Acute prerenal failure,Narrow,,,
Acute Kidney Injury,Anuria,Acute Kidney Injury-Anuria,Narrow,,,
Acute Kidney Injury,Cardiorenal syndrome,Acute Kidney Injury-Cardiorenal syndrome,Narrow,,,
Acute Kidney Injury,Continuous haemodiafiltration,Acute Kidney Injury-Continuous haemodiafiltration,Narrow,,,
Acute Kidney Injury,Crush syndrome,Acute Kidney Injury-Crush syndrome,Narrow,,,
Acute Kidney Injury,Crystal nephropathy,Acute Kidney Injury-Crystal nephropathy,Narrow,,,
Acute Kidney Injury,Delayed foetal renal development,Acute Kidney Injury-Delayed foetal renal development,Narrow,,,
Acute Kidney Injury,Frasier syndrome,Acute Kidney Injury-Frasier syndrome,Narrow,,,
Acute Kidney Injury,GRACILE syndrome,Acute Kidney Injury-GRACILE syndrome,Narrow,,,
Acute Kidney Injury,Haemolytic uraemic syndrome,Acute Kidney Injury-Haemolytic uraemic syndrome,Narrow,,,
Acute Kidney Injury,Hepatorenal failure,Acute Kidney Injury-Hepatorenal failure,Narrow,,,
Acute Kidney Injury,Nephritis,Acute Kidney Injury-Nephritis,Narrow,,,
Acute Kidney Injury,Nephropathy toxic,Acute Kidney Injury-Nephropathy toxic,Narrow,,,
Acute Kidney Injury,Oliguria,Acute Kidney Injury-Oliguria,Narrow,,,
Acute Kidney Injury,Pancreatorenal syndrome,Acute Kidney Injury-Pancreatorenal syndrome,Narrow,,,
Acute Kidney Injury,Postoperative renal failure,Acute Kidney Injury-Postoperative renal failure,Narrow,,,
Acute Kidney Injury,Postrenal failure,Acute Kidney Injury-Postrenal failure,Narrow,,,
Acute Kidney Injury,Prerenal failure,Acute Kidney Injury-Prerenal failure,Narrow,,,
Acute Kidney Injury,Renal failure acute,Acute Kidney Injury-Renal failure acute,Narrow,,,
Acute Kidney Injury,Renal injury,Acute Kidney Injury-Renal injury,Narrow,,,
Acute Kidney Injury,Renal ischaemia,Acute Kidney Injury-Renal ischaemia,Narrow,,,
Acute Kidney Injury,Renal tubular injury,Acute Kidney Injury-Renal tubular injury,Narrow,,,
Acute Kidney Injury,Renal tubular necrosis,Acute Kidney Injury-Renal tubular necrosis,Narrow,,,
Acute Kidney Injury,Traumatic anuria,Acute Kidney Injury-Traumatic anuria,Narrow,,,
Acute Kidney Injury,Tubulointerstitial nephritis,Acute Kidney Injury-Tubulointerstitial nephritis,Narrow,,,
Acute Kidney Injury,Urate nephropathy,Acute Kidney Injury-Urate nephropathy,Narrow,,,
Acute Kidney Injury,Urine output decreased,Acute Kidney Injury-Urine output decreased,Narrow,,,
Acute Kidney Injury,Azotaemia,Acute Kidney Injury-Azotaemia,Broad,,,
Acute Kidney Injury,Blood creatinine abnormal,Acute Kidney Injury-Blood creatinine abnormal,Broad,,,
Acute Kidney Injury,Blood creatinine increased,Acute Kidney Injury-Blood creatinine increased,Broad,,,
Acute Kidney Injury,Blood urea increased,Acute Kidney Injury-Blood urea increased,Broad,,,
Acute Kidney Injury,Blood urea nitrogen/creatinine ratio increased,Acute Kidney Injury-Blood urea nitrogen/creatinine ratio increased,Broad,,,
Acute Kidney Injury,C1q nephropathy,Acute Kidney Injury-C1q nephropathy,Broad,,,
Acute Kidney Injury,Creatinine renal clearance abnormal,Acute Kidney Injury-Creatinine renal clearance abnormal,Broad,,,
Acute Kidney Injury,Creatinine renal clearance decreased,Acute Kidney Injury-Creatinine renal clearance decreased,Broad,,,
Acute Kidney Injury,Dialysis,Acute Kidney Injury-Dialysis,Broad,,,
Acute Kidney Injury,Glomerular filtration rate abnormal,Acute Kidney Injury-Glomerular filtration rate abnormal,Broad,,,
Acute Kidney Injury,Glomerular filtration rate decreased,Acute Kidney Injury-Glomerular filtration rate decreased,Broad,,,
Acute Kidney Injury,Haemodialysis,Acute Kidney Injury-Haemodialysis,Broad,,,
Acute Kidney Injury,Haemofiltration,Acute Kidney Injury-Haemofiltration,Broad,,,
Acute Kidney Injury,Hypercreatinaemia,Acute Kidney Injury-Hypercreatinaemia,Broad,,,
Acute Kidney Injury,Hypercreatininaemia,Acute Kidney Injury-Hypercreatininaemia,Broad,,,
Acute Kidney Injury,Malignant urinary tract obstruction,Acute Kidney Injury-Malignant urinary tract obstruction,Broad,,,
Acute Kidney Injury,Metabolic nephropathy,Acute Kidney Injury-Metabolic nephropathy,Broad,,,
Acute Kidney Injury,Oedema due to renal disease,Acute Kidney Injury-Oedema due to renal disease,Broad,,,
Acute Kidney Injury,Renal disorder,Acute Kidney Injury-Renal disorder,Broad,,,
Acute Kidney Injury,Renal failure,Acute Kidney Injury-Renal failure,Broad,,,
Acute Kidney Injury,Renal function test abnormal,Acute Kidney Injury-Renal function test abnormal,Broad,,,
Acute Kidney Injury,Renal impairment,Acute Kidney Injury-Renal impairment,Broad,,,
Acute Kidney Injury,Renal insufficiency,Acute Kidney Injury-Renal insufficiency,Broad,,,
Acute Kidney Injury,Renal procedural complication,Acute Kidney Injury-Renal procedural complication,Broad,,,
Acute Kidney Injury,Renal tubular disorder,Acute Kidney Injury-Renal tubular disorder,Broad,,,
Acute Kidney Injury,Renal tubular dysfunction,Acute Kidney Injury-Renal tubular dysfunction,Broad,,,
Acute Kidney Injury,Subacute kidney injury,Acute Kidney Injury-Subacute kidney injury,Broad,,,
Acute Kidney Injury,Urea renal clearance decreased,Acute Kidney Injury-Urea renal clearance decreased,Broad,,,
Acute Kidney Injury,Urinary tract toxicity,Acute Kidney Injury-Urinary tract toxicity,Broad,,,
Alopecia,Alopecia,Alopecia-Alopecia,Narrow,,,
Alopecia,Alopecia areata,Alopecia-Alopecia areata,Narrow,,,
Alopecia,Alopecia effluvium,Alopecia-Alopecia effluvium,Narrow,,,
Alopecia,Alopecia scarring,Alopecia-Alopecia scarring,Narrow,,,
Alopecia,Alopecia syphilitic,Alopecia-Alopecia syphilitic,Narrow,,,
Alopecia,Alopecia totalis,Alopecia-Alopecia totalis,Narrow,,,
Alopecia,Alopecia universalis,Alopecia-Alopecia universalis,Narrow,,,
Alopecia,Androgenetic alopecia,Alopecia-Androgenetic alopecia,Narrow,,,
Alopecia,Application site alopecia,Alopecia-Application site alopecia,Narrow,,,
Alopecia,Diffuse alopecia,Alopecia-Diffuse alopecia,Narrow,,,
Alopecia,Female pattern baldness,Alopecia-Female pattern baldness,Narrow,,,
Alopecia,Injection site alopecia,Alopecia-Injection site alopecia,Narrow,,,
Alopecia,Lichen planopilaris,Alopecia-Lichen planopilaris,Narrow,,,
Alopecia,Loss of eyelashes,Alopecia-Loss of eyelashes,Narrow,,,
Alopecia,Madarosis,Alopecia-Madarosis,Narrow,,,
Alopecia,Male pattern baldness,Alopecia-Male pattern baldness,Narrow,,,
Alopecia,Non-scarring alopecia,Alopecia-Non-scarring alopecia,Narrow,,,
Alopecia,Radiation alopecia,Alopecia-Radiation alopecia,Narrow,,,
Alopecia,CARASIL syndrome,Alopecia-CARASIL syndrome,Broad,,,
Alopecia,Follicular mucinosis,Alopecia-Follicular mucinosis,Broad,,,
Alopecia,Hair growth abnormal,Alopecia-Hair growth abnormal,Broad,,,
Alopecia,Hair growth rate abnormal,Alopecia-Hair growth rate abnormal,Broad,,,
Alopecia,Hypotrichosis,Alopecia-Hypotrichosis,Broad,,,
Alopecia,Pallister-Killian syndrome,Alopecia-Pallister-Killian syndrome,Broad,,,
Alopecia,Progeria,Alopecia-Progeria,Broad,,,
Alopecia,Satoyoshi syndrome,Alopecia-Satoyoshi syndrome,Broad,,,
Alopecia,Trichodynia,Alopecia-Trichodynia,Broad,,,
Alopecia,Trichorrhexis,Alopecia-Trichorrhexis,Broad,,,
Alopecia,Woodhouse-Sakati syndrome,Alopecia-Woodhouse-Sakati syndrome,Broad,,,
Alopecia,Congenital alopecia,Alopecia-Congenital alopecia,Narrow,,,
Amenorrhea,Amenorrhoea,Amenorrhea-Amenorrhoea,Narrow,,,
Amenorrhea,Amenorrhoea-galactorrhoea syndrome,Amenorrhea-Amenorrhoea-galactorrhoea syndrome,Narrow,,,
Amenorrhea,Ovarian failure,Amenorrhea-Ovarian failure,Narrow,,,
Amenorrhea,Pituitary amenorrhoea,Amenorrhea-Pituitary amenorrhoea,Narrow,,,
Amenorrhea,Anovulatory cycle,Amenorrhea-Anovulatory cycle,Broad,,,
Amenorrhea,Follicle-stimulating hormone deficiency,Amenorrhea-Follicle-stimulating hormone deficiency,Broad,,,
Amenorrhea,Follicle stimulating hormone deficiency,Amenorrhea-Follicle stimulating hormone deficiency,Broad,,,
Amenorrhea,Hypogonadism,Amenorrhea-Hypogonadism,Broad,,,
Amenorrhea,Hypogonadism female,Amenorrhea-Hypogonadism female,Broad,,,
Amenorrhea,Hypomenorrhoea,Amenorrhea-Hypomenorrhoea,Broad,,,
Amenorrhea,Late onset hypogonadism syndrome,Amenorrhea-Late onset hypogonadism syndrome,Broad,,,
Amenorrhea,Menstruation delayed,Amenorrhea-Menstruation delayed,Broad,,,
Amenorrhea,Menstruation irregular,Amenorrhea-Menstruation irregular,Broad,,,
Amenorrhea,Oligomenorrhoea,Amenorrhea-Oligomenorrhoea,Broad,,,
Amenorrhea,Primary hypogonadism,Amenorrhea-Primary hypogonadism,Broad,,,
Amenorrhea,Secondary hypogonadism,Amenorrhea-Secondary hypogonadism,Broad,,,
Amenorrhea,Ovarian dysfunction,Amenorrhea-Ovarian dysfunction,Broad,,,
Anaphylactic Reaction,Amniotic fluid embolus,Anaphylactic Reaction-Amniotic fluid embolus,Narrow,,,
Anaphylactic Reaction,Anaphylactic reaction,Anaphylactic Reaction-Anaphylactic reaction,Narrow,,,
Anaphylactic Reaction,Anaphylactic shock,Anaphylactic Reaction-Anaphylactic shock,Narrow,,,
Anaphylactic Reaction,Anaphylactic transfusion reaction,Anaphylactic Reaction-Anaphylactic transfusion reaction,Narrow,,,
Anaphylactic Reaction,Anaphylactoid reaction,Anaphylactic Reaction-Anaphylactoid reaction,Narrow,,,
Anaphylactic Reaction,Anaphylactoid shock,Anaphylactic Reaction-Anaphylactoid shock,Narrow,,,
Anaphylactic Reaction,Anaphylactoid syndrome of pregnancy,Anaphylactic Reaction-Anaphylactoid syndrome of pregnancy,Narrow,,,
Anaphylactic Reaction,Anaphylaxis treatment,Anaphylactic Reaction-Anaphylaxis treatment,Narrow,,,
Anaphylactic Reaction,Kounis syndrome,Anaphylactic Reaction-Kounis syndrome,Narrow,,,
Anaphylactic Reaction,Acute circulatory failure,Anaphylactic Reaction-Acute circulatory failure,Broad,,,
Anaphylactic Reaction,Chemokine abnormal,Anaphylactic Reaction-Chemokine abnormal,Broad,,,
Anaphylactic Reaction,Chemokine increased,Anaphylactic Reaction-Chemokine increased,Broad,,,
Anaphylactic Reaction,Circulatory collapse,Anaphylactic Reaction-Circulatory collapse,Broad,,,
Anaphylactic Reaction,Collapse,Anaphylactic Reaction-Collapse,Broad,,,
Anaphylactic Reaction,Dialysis membrane reaction,Anaphylactic Reaction-Dialysis membrane reaction,Broad,,,
Anaphylactic Reaction,Drug hypersensitivity,Anaphylactic Reaction-Drug hypersensitivity,Broad,,,
Anaphylactic Reaction,First use syndrome,Anaphylactic Reaction-First use syndrome,Broad,,,
Anaphylactic Reaction,Hypersensitivity,Anaphylactic Reaction-Hypersensitivity,Broad,,,
Anaphylactic Reaction,Hypersensitivity type I NOS,Anaphylactic Reaction-Hypersensitivity type I NOS,Broad,,,
Anaphylactic Reaction,Pharyngeal swelling,Anaphylactic Reaction-Pharyngeal swelling,Broad,,,
Anaphylactic Reaction,Reaction to excipient,Anaphylactic Reaction-Reaction to excipient,Broad,,,
Anaphylactic Reaction,Shock,Anaphylactic Reaction-Shock,Broad,,,
Anaphylactic Reaction,Shock symptom,Anaphylactic Reaction-Shock symptom,Broad,,,
Anaphylactic Reaction,Type I hypersensitivity,Anaphylactic Reaction-Type I hypersensitivity,Broad,,,
Anaemia,Addisonian pernicious anaemia,Anemia-Addisonian pernicious anaemia,Narrow,,,
Anaemia,Anaemia,Anemia-Anaemia,Narrow,,,
Anaemia,Anaemia folate deficiency,Anemia-Anaemia folate deficiency,Narrow,,,
Anaemia,Anaemia haemolytic autoimmune,Anemia-Anaemia haemolytic autoimmune,Narrow,,,
Anaemia,Anaemia Heinz body,Anemia-Anaemia Heinz body,Narrow,,,
Anaemia,Anaemia macrocytic,Anemia-Anaemia macrocytic,Narrow,,,
Anaemia,Anaemia megaloblastic,Anemia-Anaemia megaloblastic,Narrow,,,
Anaemia,Anaemia neonatal,Anemia-Anaemia neonatal,Narrow,,,
Anaemia,Anaemia NOS,Anemia-Anaemia NOS,Narrow,,,
Anaemia,Anaemia NOS aggravated,Anemia-Anaemia NOS aggravated,Narrow,,,
Anaemia,Anaemia of chronic disease,Anemia-Anaemia of chronic disease,Narrow,,,
Anaemia,Anaemia of malignant disease,Anemia-Anaemia of malignant disease,Narrow,,,
Anaemia,Anaemia of pregnancy,Anemia-Anaemia of pregnancy,Narrow,,,
Anaemia,Anaemia postoperative,Anemia-Anaemia postoperative,Narrow,,,
Anaemia,Anaemia splenic,Anemia-Anaemia splenic,Narrow,,,
Anaemia,Anaemia vitamin B12 deficiency,Anemia-Anaemia vitamin B12 deficiency,Narrow,,,
Anaemia,Anaemia vitamin B6 deficiency,Anemia-Anaemia vitamin B6 deficiency,Narrow,,,
Anaemia,Anaemic hypoxia,Anemia-Anaemic hypoxia,Narrow,,,
Anaemia,Aplasia pure red cell,Anemia-Aplasia pure red cell,Narrow,,,
Anaemia,Aplastic anaemia,Anemia-Aplastic anaemia,Narrow,,,
Anaemia,Aregenerative anaemia,Anemia-Aregenerative anaemia,Narrow,,,
Anaemia,Atypical haemolytic uraemic syndrome,Anemia-Atypical haemolytic uraemic syndrome,Narrow,,,
Anaemia,Autoimmune anaemia,Anemia-Autoimmune anaemia,Narrow,,,
Anaemia,Autoimmune aplastic anaemia,Anemia-Autoimmune aplastic anaemia,Narrow,,,
Anaemia,Autoimmune haemolytic anaemia,Anemia-Autoimmune haemolytic anaemia,Narrow,,,
Anaemia,Autoimmune haemolytic anaemia NOS,Anemia-Autoimmune haemolytic anaemia NOS,Narrow,,,
Anaemia,Autoimmune pancytopenia,Anemia-Autoimmune pancytopenia,Narrow,,,
Anaemia,Autosomal recessive megaloblastic anaemia,Anemia-Autosomal recessive megaloblastic anaemia,Narrow,,,
Anaemia,Benjamin syndrome,Anemia-Benjamin syndrome,Narrow,,,
Anaemia,Blood incompatibility haemolytic anaemia of newborn,Anemia-Blood incompatibility haemolytic anaemia of newborn,Narrow,,,
